Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,1,0,200,0,200,Undified,Nan,faces\-9190729480240501520.png,,,,,25,29.068883707497267,7.071067811865476,29.017236257093817,8.031128874149275,24,27,287,132,98,9,287,132,120,18,15,355,132,100,0,2,110,23,-177,1,-7,261,95,149,149,1.4220776465136336,84.09518416651456,59.13543776789008,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0,0,0,0,0,50,0,0,0,0,0,0,50,25,50,25,0,0,0,50,25,0,0,25,Anger,Neutral,80.0,9.090909090909092,90.9090909090909,-42,73,29,-60,88,-45,65,100.0,30.0,20.0,95.25297182181426,0.0,0.0,47.86229725112321,42.503608075786246,47.86229725112321,79.42816269800585,80.94940563563715,37.88563253960117,55.10908517880891,39.35554812675346,30.792595487176808,90.0,0.0,26.164224404700875,63.676678362909875
0,Test,ID1,BV01,2,0,400,0,400,Undified,Nan,faces\-7990294629425983178.png,,,,,26,29.068883707497267,7.535533905932738,28.071337695236398,8.06225774829855,25,28,287,131,98,9,287,131,94,17,18,356,131,100,0,7,97,23,-177,1,-6,261,95,149,149,1.463662424299979,85.09406559801924,58.137767414994535,55.0,0.0,0.0,0.0,0.0,0.0,45.0,50,0.0,0,0,0,0,0,28,0,0,0,0,0,0,28,25,28,25,0,0,0,28,25,0,0,25,Anger,Neutral,80.0,15.384615384615385,84.61538461538461,-39,77,32,-56,98,-45,64,55.0,30.0,20.0,96.08455793760838,0.0,0.0,47.86229725112321,42.503608075786246,47.86229725112321,80.01027297906174,44.78308841247832,28.10205459581235,44.259190011861264,48.09367528841717,20.561935773607154,94.5,45.0,26.251540946859258,50.686934566324474
0,Test,ID1,BV01,3,0,600,0,600,Undified,Nan,faces\910007518318920599.png,,,,,13,26.0,3.5615528128088303,24.020824298928627,3.5,13,14,294,138,87,5,294,138,500,17,0,356,138,100,0,0,300,22,176,2,-12,261,95,149,149,1.5690445511669475,94.26027795418386,60.07495318350236,55.0,0.0,0.0,0.0,0.0,0.0,45.0,50,0.0,0,0,0,0,0,28,0,0,0,0,0,0,28,25,28,25,0,0,0,28,25,0,0,25,Anger,Neutral,80.0,15.384615384615385,84.61538461538461,-37,77,34,-53,98,-42,64,55.0,30.0,40.0,88.3563903558904,0.0,0.0,50.44883526787211,44.314184687510476,50.44883526787211,75.1437286553764,46.32872192882192,27.78874573107528,46.14547597597624,46.39799208475665,20.375731372319766,94.5,45.0,26.57155929830646,52.232568082668074
0,Test,ID1,BV01,4,0,800,0,800,Undified,Nan,faces\5549230441733735381.png,,,,,25,29.017236257093817,6.5,27.07397274136177,8.0,22,29,288,130,97,9,288,131,500,17,0,357,130,100,0,0,300,23,-179,0,-14,261,95,149,149,1.5780737089256434,90.00555538409837,57.0350769263968,55.0,0.0,0.0,0.0,0.0,0.0,45.0,50,0.0,0,0,0,0,0,28,0,0,0,0,0,0,28,25,28,25,0,0,0,28,25,0,0,25,Anger,Neutral,100.0,15.384615384615385,84.61538461538461,-39,73,27,-50,93,-43,65,55.0,30.0,0.0,83.22837744143138,0.0,0.0,47.86229725112321,42.503608075786246,47.86229725112321,71.01094663173784,47.35432451171373,26.74218932634757,45.03056084163189,46.77664598986828,18.98040125692129,94.5,45.0,25.601641994760676,53.25817066555988
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\1701603492331781140.png,,,,,27,29.068883707497267,7.566662780082012,27.018512172212592,8.06225774829855,26,29,288,130,97,9,288,130,500,22,0,357,130,100,0,0,300,24,-179,1,-13,261,95,149,149,1.5581378938576236,92.04890004774636,59.07622195096772,55.0,0.0,0.0,0.0,0.0,0.0,45.0,50,0.0,0,0,0,0,0,28,0,0,0,0,0,0,28,25,28,25,0,0,0,28,25,0,0,25,Anger,Neutral,100.0,15.384615384615385,84.61538461538461,-43,80,27,-58,90,-45,62,55.0,30.0,0.0,85.82235123333135,0.0,0.0,45.40837238345027,40.78586066841518,45.40837238345027,72.31140406385649,46.83552975333373,26.5622808127713,43.52526373689777,47.91092941686743,18.618943957650863,94.5,45.0,25.096710609578473,52.739375907179884
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\4160410482532904326.png,,,,,27,29.068883707497267,8.031128874149275,26.019223662515373,7.531128874149275,27,28,295,133,95,10,295,134,500,42,0,363,133,100,0,0,300,22,-178,0,-21,261,95,149,149,1.5484980315925991,88.27797007181351,57.00877125495689,55.0,0.0,0.0,0.0,0.0,0.0,45.0,50,0.0,0,0,0,0,0,28,0,0,0,0,0,0,28,25,28,25,0,0,0,28,25,0,0,25,Anger,Neutral,100.0,15.384615384615385,84.61538461538461,-45,78,27,-54,94,-46,64,55.0,30.0,40.0,55.01398981388843,0.0,0.0,50.44883526787211,44.314184687510476,50.44883526787211,51.80404827597504,52.997202037222316,22.240809655195008,48.14602000849636,42.06358882080042,12.507370951073803,94.5,45.0,21.670607241396258,58.90104819106847
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\-8652595952857323938.png,,,,,18,29.154759474226502,5.5908910219455015,27.018512172212592,5.0,19,18,302,138,94,9,302,138,500,63,0,368,141,100,0,0,300,20,-178,1,-18,277,95,150,149,1.3426281169011105,87.28115489611719,65.00769185258002,0.0,0.0,3.0,58.0,0.0,0.0,38.0,50,0.0,29,2,3,0,0,0,0,0,30,0,2,0,0,25,29,25,29,0,2,0,25,29,0,26,Joy,Neutral,100.0,95.08196721311475,4.918032786885246,92,14,85,89,25,79,4,61.0,30.0,40.0,68.88730486503205,0.0,0.0,56.0488043568919,48.234163049824325,1.6814641307067568,62.69136232046973,6.222539026993591,56.21427246409395,7.2915669799867935,88.33588264805755,71.35642884492319,98.8,100.0,78.95370434807046,37.7020472237149
0,Test,ID1,BV01,11,0,2200,0,2200,Undified,Nan,faces\5354746255896745181.png,,,,,29,30.01666203960727,8.5,30.066592756745816,9.055385138137416,28,30,283,134,103,11,283,135,325,26,8,355,134,100,0,4,212,21,-176,0,17,234,94,179,179,1.4607120645338452,95.0473566176356,65.06919393998976,0.0,0.0,3.0,68.0,0.0,0.0,29.0,50,0.0,34,2,3,0,0,0,0,0,36,0,2,0,0,25,34,25,34,0,2,0,25,34,0,26,Joy,Neutral,100.0,95.77464788732394,4.225352112676056,99,15,83,87,22,78,8,71.0,30.0,30.0,73.27327600790984,0.0,0.0,53.17515301305708,46.22260710913995,1.5952545903917124,65.15807533827888,5.345344798418032,63.58361506765578,6.980993464240852,88.7310127624352,74.11262011081324,98.8,100.0,80.97371130074184,39.15168282658705
0,Test,ID1,BV01,12,0,2400,0,2400,Undified,Nan,faces\-7413203787305415934.png,,,,,29,31.06444913401813,9.027692569068707,31.144823004794873,9.552630379629154,29,30,285,134,104,11,285,135,414,29,7,357,134,100,0,3,257,23,-176,0,10,261,95,149,149,1.3735805429304735,88.00568163476721,64.07027391856539,0.0,0.0,0.0,71.0,0.0,0.0,29.0,50,0.0,36,0,0,0,0,0,0,0,36,0,0,0,0,25,36,25,36,0,0,0,25,36,0,25,Joy,Neutral,100.0,100.0,0.0,97,14,85,94,24,78,5,71.0,30.0,10.0,91.70251523267711,0.0,0.0,47.86229725112321,42.503608075786246,0.0,76.94284308560985,1.6594969534645772,65.94056861712197,4.997849086039373,91.49600503972948,77.33531127537542,100.0,100.0,83.04142646284149,34.409496953464576
0,Test,ID1,BV01,13,0,2600,0,2600,Undified,Nan,faces\6818732134197080140.png,,,,,28,29.017236257093817,8.0,30.066592756745816,9.055385138137416,27,30,289,133,101,10,289,134,164,23,14,359,133,100,0,4,132,23,-177,0,12,261,95,149,149,1.4120762106795717,89.00561780022652,63.0317380372777,50.0,0.0,1.0,0.0,0.0,0.0,50.0,50,0.0,0,0,1,0,0,25,0,0,0,0,0,0,25,25,25,25,0,0,0,25,25,0,0,26,Neutral,Neutral,100.0,0.0,0.0,0,9,8,23,17,-6,-8,0.0,30.0,10.0,88.04403301853132,0.0,0.0,47.86229725112321,42.503608075786246,23.931148625561605,74.3819055357078,42.39119339629374,14.876381107141562,30.379489762947003,62.534598743213174,22.44893625824827,94.6,50.0,28.95728583035617,17.391193396293737
