Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\167904648960721003.png,,,,,29,17.029386365926403,5.0,18.0,5.541381265149108,29,30,298,113,61,7,298,113,300,3,1,340,113,500,2,0,400,15,174,2,10,285,93,86,86,1.5572411502397436,53.03772242470448,34.058772731852805,89.0,0.0,0.0,0.0,11.0,0.0,0.0,50,0.0,0,0,0,6,6,44,0,0,0,0,6,0,50,25,44,25,0,0,0,44,30,0,0,25,Anger,Anticipation,100.0,10.1010101010101,89.8989898989899,-44,75,32,-62,91,-43,62,100.0,30.0,20.0,91.66804048651306,0.0,0.0,71.65313105737893,59.157191740165246,71.65313105737893,81.91478586260872,72.86639190269739,39.182957172521746,65.76913965236763,31.27616686436677,31.406313152088856,91.1,11.0,29.437217879391312,64.14113937744486
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\1603017510083860499.png,,,,,32,17.11724276862369,5.541381265149108,17.0,5.5,32,32,302,120,60,9,302,120,500,2,0,344,122,100,0,0,300,15,176,3,5,285,93,86,86,1.5995712921230083,48.09365862564421,30.066592756745816,0.0,0.0,0.0,0.0,66.0,0.0,34.0,50,0.0,0,0,0,33,33,0,0,0,0,0,33,0,33,25,0,25,0,0,0,0,58,0,0,25,Sadness,Neutral,100.0,13.157894736842104,86.8421052631579,-22,46,46,-59,-50,-84,-45,66.0,30.0,20.0,96.83621206325527,71.65313105737893,71.65313105737893,71.65313105737893,59.157191740165246,71.65313105737893,85.53250596632826,0.6327575873489452,21.330501193265654,44.09904935776309,44.87401111042236,8.770527602624295,100.0,100.0,26.629875894949244,53.84328390313843
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\5595623020763624760.png,,,,,26,21.02379604162864,5.0990195135927845,21.02379604162864,6.041381265149108,24,28,298,110,73,10,298,110,100,0,1,349,112,100,0,0,100,18,172,4,3,272,79,125,124,1.6808060130219489,62.39390995922599,37.12142238654117,0.0,0.0,85.0,0.0,0.0,0.0,15.0,50,0.0,0,42,85,0,0,0,0,0,42,0,42,0,0,25,0,25,0,0,42,0,25,0,0,68,Fear,Awe,100.0,10.526315789473683,89.47368421052632,-41,95,8,-45,80,0,0,85.0,30.0,0.0,97.86759515267833,58.664621951003184,58.664621951003184,58.664621951003184,50.06523536570223,58.664621951003184,83.5268872165855,0.4264809694643333,50.705377443317104,36.89348636389106,58.83789963054571,48.01551176720095,66.0,100.0,51.02903308248782,59.04490202209591
0,Test,ID1,BV01,8,0,1600,0,1600,Undified,Nan,faces\-952726086279325509.png,,,,,24,23.021728866442675,5.5,22.09072203437452,5.541381265149108,23,25,297,102,80,10,297,102,100,1,1,354,104,100,0,0,100,18,172,4,-4,272,65,125,124,1.8014566055387915,70.34912934784622,39.05124837953327,0.0,0.0,4.0,0.0,65.0,0.0,31.0,50,0.0,0,2,4,32,32,0,0,0,2,0,34,0,32,25,0,25,0,0,2,0,58,0,0,27,Sadness,Neutral,100.0,13.333333333333334,86.66666666666667,-22,56,43,-56,-59,-81,-44,69.0,30.0,0.0,97.31410088943862,58.664621951003184,58.664621951003184,58.664621951003184,50.06523536570223,58.664621951003184,83.1394412323177,0.537179822112276,21.871888246463538,36.92669601968544,50.672587307483425,10.702119038827767,98.4,100.0,27.520916184847653,54.45384648877895
0,Test,ID1,BV01,9,0,1800,0,1800,Undified,Nan,faces\-497887972612093416.png,,,,,26,21.02379604162864,6.041381265149108,20.09975124224178,5.049509756796391,28,25,302,98,72,10,302,98,200,2,1,353,101,500,1,0,350,18,173,3,-6,272,65,125,124,1.8620006388747716,65.27633568147036,35.05709628591621,0.0,0.0,6.0,0.0,62.0,0.0,32.0,50,0.0,0,3,6,31,31,0,0,0,3,0,34,0,31,25,0,25,0,0,3,0,56,0,0,28,Sadness,Neutral,100.0,13.88888888888889,86.11111111111111,-24,48,42,-52,-56,-84,-44,68.0,30.0,0.0,96.08269550779448,58.664621951003184,58.664621951003184,58.664621951003184,50.06523536570223,58.664621951003184,82.2774574651668,0.7834608984411034,20.80749149303336,37.00058034258409,50.22728147244942,8.992092513536642,97.6,100.0,25.94161861977502,54.311238676218885
0,Test,ID1,BV01,10,0,2000,0,2000,Undified,Nan,faces\-962777482028278490.png,,,,,28,19.02629759044045,5.5908910219455015,18.110770276274835,5.0,29,27,308,101,66,10,308,101,100,2,2,355,104,100,0,0,100,16,173,5,-7,284,77,104,104,1.8529747658011455,61.40032573203501,33.13608305156178,0.0,0.0,0.0,0.0,68.0,0.0,32.0,50,0.0,0,0,0,34,34,0,0,0,0,0,34,0,34,25,0,25,0,0,0,0,59,0,0,25,Sadness,Neutral,100.0,12.82051282051282,87.17948717948718,-24,49,38,-55,-52,-82,-46,68.0,30.0,26.666666666666668,95.19608139876723,67.03200460356393,67.03200460356393,67.03200460356393,55.92240322249475,67.03200460356393,83.41397794588549,0.9607837202465532,21.5787955891771,41.65583764803413,46.81672767616125,9.735167254087497,100.0,100.0,27.412096691882827,54.75565551511835
0,Test,ID1,BV01,11,0,2200,0,2200,Undified,Nan,faces\6279778859089621366.png,,,,,28,17.029386365926403,5.0990195135927845,16.031219541881402,4.5,29,28,307,104,60,9,307,104,500,3,0,350,107,500,2,0,500,15,173,4,-6,284,77,104,104,1.906265867480747,57.3149195236284,30.066592756745816,0.0,0.0,35.0,0.0,34.0,0.0,31.0,50,0.0,0,18,35,17,17,0,0,0,18,0,34,0,17,25,0,25,0,0,18,0,42,0,0,42,Anticipation,Pessimism,100.0,22.22222222222222,77.77777777777779,0,0,0,0,0,0,0,69.0,30.0,40.0,96.08269550779448,0.0,71.65313105737893,71.65313105737893,59.157191740165246,25.078595870082626,85.00504437750571,0.7834608984411034,44.601008875501144,18.528265998077778,73.67789163928833,45.869050258305265,86.0,100.0,53.05075665662585,52.47790534288555
0,Test,ID1,BV01,12,0,2400,0,2400,Undified,Nan,faces\4124987298196576771.png,,,,,24,16.031219541881402,4.061552812808832,15.132745950421555,3.5,25,23,307,107,56,8,307,107,500,2,0,347,110,500,1,0,500,13,172,5,-3,294,83,87,87,1.766376895298549,53.460265618494645,30.265491900843116,75.0,0.0,0.0,0.0,0.0,0.0,25.0,50,0.0,0,0,0,0,0,38,0,0,0,0,0,0,38,25,38,25,0,0,0,38,25,0,0,25,Anger,Neutral,100.0,11.76470588235294,88.23529411764706,-38,74,30,-55,95,-42,65,75.0,30.0,40.0,97.81548750430306,0.0,0.0,81.87307530779819,66.31115271545872,81.87307530779819,88.36418706764975,60.436902499139386,35.07283741352995,67.66126216903083,30.50740897154031,27.091787664066473,92.5,25.0,28.55462806014746,56.245726028551154
0,Test,ID1,BV01,13,0,2600,0,2600,Undified,Nan,faces\-744440800602417301.png,,,,,25,17.0,4.061552812808832,15.033296378372908,4.061552812808832,23,27,308,102,57,8,308,102,200,2,1,349,104,500,1,0,350,13,169,4,-2,294,74,87,86,1.81561564682373,54.589376255824725,30.066592756745816,74.0,0.0,0.0,0.0,0.0,0.0,26.0,50,0.0,0,0,0,0,0,37,0,0,0,0,0,0,37,25,37,25,0,0,0,37,25,0,0,25,Anger,Neutral,100.0,11.904761904761903,88.09523809523809,-46,83,33,-61,92,-45,65,74.0,30.0,40.0,98.12826950307297,0.0,0.0,81.87307530779819,66.31115271545872,81.87307530779819,88.58313446678869,59.57434609938541,33.99662689335774,67.40249524910463,30.436317247395166,25.68941534143669,92.6,26.0,27.53747017001831,55.898155623194924
0,Test,ID1,BV01,14,0,2800,0,2800,Undified,Nan,faces\-2873118498087263343.png,,,,,26,17.029386365926403,4.611062569605222,16.1245154965971,4.061552812808832,27,25,311,97,59,9,311,97,100,1,1,353,100,500,1,0,300,15,170,4,-3,294,74,87,86,1.7876032255030176,57.3149195236284,32.062439083762804,0.0,0.0,0.0,0.0,20.0,0.0,80.0,50,0.0,0,0,0,10,10,0,0,0,0,0,10,0,10,25,0,25,0,0,0,0,35,0,0,25,Neutral,Neutral,100.0,0.0,0.0,-5,12,-1,16,13,-7,-7,0.0,30.0,24.0,97.81548750430306,0.0,0.0,71.65313105737893,59.157191740165246,14.330626211475785,86.21799877506172,0.43690249913938717,17.243599755012344,12.5129151660535,77.91146774466337,26.545646468231766,100.0,100.0,40.482699816259256,15.436902499139388
