Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,3,0,600,0,600,Undified,Nan,faces\-2083989971957778834.png,,,,,28,12.041594578792296,4.0,12.041594578792296,3.0,33,24,466,150,41,5,466,150,500,5,0,494,151,100,0,3,300,9,176,-1,35,453,133,72,72,1.6671874186452131,40.01249804748511,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0,0,0,0,0,50,0,0,0,0,0,0,50,25,50,25,0,0,0,50,25,0,0,25,Anger,Neutral,100.0,9.090909090909092,90.9090909090909,-38,82,32,-60,96,-45,65,100.0,30,20.0,7.026341732399674,0.0,0.0,95.55630362682842,75.8894125387799,95.55630362682842,27.68526297431374,98.59473165352007,27.53705259486275,86.63438649081166,8.961017104782044,14.81741745405664,90.0,0.0,18.40278944614706,81.32200438079279
0,Test,ID1,BV01,4,0,800,0,800,Undified,Nan,faces\5634397132655958057.png,,,,,28,12.041594578792296,4.0,12.041594578792296,3.0,33,24,467,152,41,5,467,152,500,5,0,495,153,100,0,3,300,9,174,-2,33,453,133,72,72,1.7103646459811497,41.04875150354759,24.0,71.0,0.0,0.0,0.0,0.0,0.0,29.0,50,0.0,0,0,0,0,0,36,0,0,0,0,0,0,36,25,36,25,0,0,0,36,25,0,0,25,Anger,Neutral,100.0,12.345679012345679,87.65432098765432,-47,75,36,-55,96,-44,64,71.0,30,20.0,10.561325333142323,0.0,0.0,95.55630362682842,75.8894125387799,95.55630362682842,30.159751494833593,74.68773493337154,21.93595029896672,79.4622874747671,15.046145169669684,9.194552390675364,92.9,29.0,19.123962724225045,72.55131518028512
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\37302209420852417.png,,,,,29,12.0,3.0,12.0,4.0,25,33,475,159,41,5,475,159,100,0,0,503,159,50,5,10,75,9,170,0,0,461,141,72,72,1.7831388395139025,41.012193308819754,23.0,71.0,0.0,0.0,0.0,0.0,0.0,29.0,50,0.0,0,0,0,0,0,36,0,0,0,0,0,0,36,25,36,25,0,0,0,36,25,0,0,25,Anger,Neutral,100.0,12.345679012345679,87.65432098765432,-45,78,35,-61,99,-44,64,71.0,30,20.0,98.33587956325762,0.0,0.0,95.55630362682842,75.8894125387799,95.55630362682842,91.6019394559143,57.13282408734848,34.22438789118286,74.19581422096019,25.403542568823283,25.590839120860903,92.9,29.0,28.340290918387147,54.99640433426206
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\6099266301762268633.png,,,,,31,12.0,4.061552812808832,13.038404810405297,4.0,33,30,140,158,47,7,140,159,113,17,15,173,158,500,3,0,306,11,-172,-3,16,121,141,87,86,1.7250323383802226,41.43669871020132,24.020824298928627,0.0,0.0,0.0,0.0,72.0,0.0,28.0,50,0.0,0,0,0,36,36,0,0,0,0,0,36,0,36,25,0,25,0,0,0,0,61,0,0,25,Sadness,Neutral,100.0,12.195121951219512,87.8048780487805,-21,51,41,-53,-55,-84,-46,72.0,30,0.0,76.86303193344635,87.25252928694238,87.25252928694238,87.25252928694238,70.07677050085965,87.25252928694238,74.82715350367035,4.62739361331073,19.573430700734068,53.87710919181153,35.98102799691782,6.704891175609363,100.0,100.0,26.224073025550553,59.57861312550585
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\7942652689070000223.png,,,,,31,13.0,4.5,14.035668847618199,4.0,34,28,140,158,48,7,140,159,80,16,20,173,158,500,5,0,290,12,-174,-3,14,121,141,87,86,1.6561435630999637,41.43669871020132,25.019992006393608,0.0,0.0,0.0,0.0,59.0,0.0,41.0,50,0.0,0,0,0,30,30,0,0,0,0,0,30,0,30,25,0,25,0,0,0,0,54,0,0,25,Sadness,Neutral,100.0,14.492753623188406,85.5072463768116,-29,52,47,-57,-54,-82,-45,59.0,30,0.0,83.3108930788597,83.37529180751805,83.37529180751805,83.37529180751805,67.36270426526264,83.37529180751805,78.52643643478058,3.337821384228059,19.953287286956115,51.35775690940335,38.56643811595538,5.438252920290678,100.0,100.0,24.87896546521708,54.464632978430956
0,Test,ID1,BV01,8,0,1600,0,1600,Undified,Nan,faces\9150716498327447291.png,,,,,31,13.038404810405297,4.5,14.035668847618199,4.0,34,28,138,158,49,8,138,160,82,19,23,172,158,500,2,0,291,12,-172,-3,13,121,141,87,86,1.5545235844443777,40.44749683231337,26.019223662515373,48.0,0.0,0.0,0.0,0.0,0.0,52.0,50,0.0,0,0,0,0,0,24,0,0,0,0,0,0,24,25,24,25,0,0,0,24,25,0,0,25,Neutral,Neutral,100.0,0.0,0.0,-2,9,5,20,13,-5,-6,0.0,30,0.0,85.82281004165156,0.0,0.0,83.37529180751805,67.36270426526264,40.020140067608665,80.28477830873487,41.23543799166969,16.056955661746976,38.88170843468568,56.42311108312495,23.713505685496212,95.2,52.0,30.692716746310232,17.835437991669686
0,Test,ID1,BV01,9,0,1800,0,1800,Undified,Nan,faces\-1937534877243464688.png,,,,,27,12.0,3.1622776601683795,10.04987562112089,3.0,26,29,487,160,39,7,487,160,80,4,5,515,163,171,12,7,125,9,168,6,-13,469,141,72,72,2.198108998279392,44.181444068749045,20.09975124224178,15.0,0.0,17.0,0.0,16.0,0.0,52.0,50,0.0,0,8,17,8,8,8,0,0,8,0,16,0,16,25,8,25,0,0,8,8,33,0,0,34,Neutral,Neutral,100.0,0.0,0.0,1,5,5,12,15,-7,-9,0.0,30,40.0,85.87997735464029,0.0,0.0,95.55630362682842,75.8894125387799,16.244571616560833,82.88280790988216,14.824004529071942,16.57656158197643,17.881715747830043,73.28290819272418,25.248992796742957,91.7,85.0,35.282421186482324,17.824004529071942
0,Test,ID1,BV01,10,0,2000,0,2000,Undified,Nan,faces\2994367396131593409.png,,,,,31,13.038404810405297,4.5,14.142135623730953,4.0,34,28,136,159,49,7,136,160,85,17,20,170,159,500,3,0,292,11,-173,-3,14,121,141,87,86,1.5925417009999858,41.43669871020132,26.019223662515373,71.0,0.0,0.0,0.0,0.0,0.0,29.0,50,0.0,0,0,0,0,0,36,0,0,0,0,0,0,36,25,36,25,0,0,0,36,25,0,0,25,Anger,Neutral,100.0,12.345679012345679,87.65432098765432,-46,80,30,-52,92,-45,65,71.0,30,13.333333333333334,83.3108930788597,0.0,0.0,87.25252928694238,70.07677050085965,87.25252928694238,79.34065630545969,60.13782138422806,31.488131261091937,70.53023752308673,27.00987561207659,22.28615163757258,92.9,29.0,26.151098445818953,58.00140163114164
0,Test,ID1,BV01,11,0,2200,0,2200,Undified,Nan,faces\-82958903977519000.png,,,,,25,13.038404810405297,4.0,15.033296378372908,3.1622776601683795,30,21,135,160,50,7,135,161,85,17,20,169,160,500,2,0,292,13,-172,-3,16,112,135,103,103,1.6916393929015836,45.70557952810575,27.018512172212592,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,100.0,0.0,0.0,0,9,6,12,18,-6,-7,0.0,30,0.0,76.86303193344635,0.0,0.0,79.67034698934616,64.76924289254231,0.0,73.23489522117514,4.62739361331073,14.646979044235028,5.888218083993219,82.01291505492294,24.11001531078608,100.0,100.0,38.88523428317627,19.62739361331073
0,Test,ID1,BV01,12,0,2400,0,2400,Undified,Nan,faces\-3320470480201815947.png,,,,,32,13.038404810405297,4.5,14.142135623730953,4.5,34,31,136,159,49,8,136,161,172,19,11,170,159,500,5,0,336,12,-173,-3,13,121,141,87,86,1.5492886822586966,40.311288741492746,26.019223662515373,71.0,0.0,0.0,0.0,0.0,0.0,29.0,50,0.0,0,0,0,0,0,36,0,0,0,0,0,0,36,25,36,25,0,0,0,36,25,0,0,25,Anger,Neutral,80.0,12.345679012345679,87.65432098765432,-43,76,32,-61,95,-42,63,71.0,30,10.0,85.82281004165156,0.0,0.0,83.37529180751805,67.36270426526264,83.37529180751805,80.28477830873487,59.63543799166969,32.52895566174698,68.24704189163585,29.230844317564813,23.9442790089402,92.9,29.0,27.342716746310234,57.49901823858327
