Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,4,0,800,0,800,Undified,Nan,faces\-7039003029299793708.png,,,,,30,23.08679276123039,7.035533905932738,24.0,7.5,30,31,283,137,82,11,283,137,500,20,0,340,139,100,0,0,300,17,174,2,2,259,107,124,124,1.4678186567426963,66.06814663663572,45.01110973970761,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50,0,0,0,0,50,50,0,0,0,0,0,50,0,50,25,0,25,0,0,0,0,75,0,0,25,Sadness,Neutral,100.0,9.090909090909092,90.9090909090909,-27,56,44,-51,-61,-82,-45,100.0,30.0,20.0,98.2404278726887,71.65313105737893,71.65313105737893,71.65313105737893,59.157191740165246,71.65313105737893,86.51545703293166,0.3519144254622603,24.503091406586332,44.01479640919709,45.239708575935495,18.352835115826462,100.0,100.0,34.277318554939754,63.07918715273499
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\-7787671337811892478.png,,,,,30,23.08679276123039,7.071067811865476,25.0,7.5,30,30,280,139,83,11,280,139,1050,21,2,337,141,100,0,0,575,17,174,1,5,259,107,124,124,1.5218342161494791,67.02984409947557,44.04543109109048,78.0,0.0,0.0,0.0,0.0,0.0,22.0,50,0,0,0,0,0,0,39,0,0,0,0,0,0,39,25,39,25,0,0,0,39,25,0,0,25,Anger,Neutral,100.0,11.363636363636363,88.63636363636364,-41,76,33,-51,94,-44,62,78.0,30.0,20.0,96.83621206325527,0.0,0.0,71.65313105737893,59.157191740165246,71.65313105737893,85.53250596632826,63.032757587348954,34.57850119326565,62.81904935776309,33.89801111042236,26.672927602624295,92.2,22.0,27.42987589494924,57.291848496439854
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\6815292354207043790.png,,,,,26,24.020824298928627,6.535533905932738,25.0,6.541381265149108,27,26,276,141,84,10,276,141,500,22,0,334,143,500,4,0,500,17,175,1,6,259,107,124,124,1.4563398773811824,67.00746227100382,46.01086828130936,87.0,0.0,0.0,0.0,0.0,0.0,13.0,50,0,0,0,0,0,0,44,0,0,0,0,0,0,44,25,44,25,0,0,0,44,25,0,0,25,Anger,Neutral,100.0,10.309278350515463,89.69072164948454,-45,82,37,-61,94,-43,65,87.0,30.0,20.0,96.18104012833426,0.0,0.0,71.65313105737893,59.157191740165246,71.65313105737893,85.07388561188355,70.36379197433315,36.85077712237671,65.01835967385836,32.19270082210168,29.03774148518106,91.3,13.0,27.71108284178254,59.93647238670428
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\3293802032285361965.png,,,,,18,25.0,4.561552812808832,25.0,4.5,18,18,273,146,85,8,273,146,1000,10,1,332,148,100,0,0,550,19,175,0,6,259,120,124,125,1.4346083390399902,66.007575322837,46.01086828130936,81.0,0.0,0.0,0.0,0.0,0.0,19.0,50,0,0,0,0,0,0,40,0,0,0,0,0,0,40,25,40,25,0,0,0,40,25,0,0,25,Anger,Neutral,100.0,10.989010989010989,89.01098901098901,-41,72,27,-55,90,-46,64,81.0,30.0,0.0,96.18104012833426,0.0,0.0,60.653065971263345,51.45714617988434,60.653065971263345,82.76387194379927,65.56379197433314,34.04877438875985,57.52832387649478,37.65372809318411,26.306340795268227,91.9,19.0,26.31458079156989,58.2665392270804
0,Test,ID1,BV01,8,0,1600,0,1600,Undified,Nan,faces\-602356925534194694.png,,,,,20,23.0,5.0,25.0,5.049509756796391,21,20,270,150,83,7,270,150,150,6,4,327,151,100,0,0,125,18,173,0,5,245,120,124,125,1.4885213981048413,67.0,45.01110973970761,0.0,0.0,0.0,0.0,33.0,0.0,67.0,50,0,0,0,0,16,16,0,0,0,0,0,16,0,16,25,0,25,0,0,0,0,42,0,0,25,Neutral,Neutral,100.0,0.0,0.0,0,6,1,23,17,-6,-9,0.0,30.0,20.0,96.83621206325527,0.0,0.0,65.92406302004437,55.146844114031055,21.75494079661464,84.329401678488,0.6327575873489452,16.8658803356976,16.65504471434274,74.50890439637462,26.13324085925946,100.0,100.0,40.549410251773196,15.632757587348944
0,Test,ID1,BV01,9,0,1800,0,1800,Undified,Nan,faces\-7602257660331381102.png,,,,,19,23.021728866442675,4.5,26.0,5.049509756796391,19,19,265,152,84,7,265,152,400,4,1,322,152,100,0,0,250,18,174,0,7,245,120,124,125,1.4678186567426963,66.06814663663572,45.01110973970761,87.0,0.0,0.0,0.0,0.0,0.0,13.0,50,0,0,0,0,0,0,44,0,0,0,0,0,0,44,25,44,25,0,0,0,44,25,0,0,25,Anger,Neutral,100.0,10.309278350515463,89.69072164948454,-46,72,26,-61,94,-44,63,87.0,30.0,20.0,95.40106416225649,0.0,0.0,65.92406302004437,55.146844114031055,65.92406302004437,83.32479814778885,70.51978716754871,36.15295962955777,61.914170811289026,34.40114316574767,28.421313853521976,91.3,13.0,27.098719722168333,60.09246757991984
0,Test,ID1,BV01,10,0,2000,0,2000,Undified,Nan,faces\15241100808212721.png,,,,,18,24.0,5.049509756796391,27.0,4.5,21,16,263,153,85,7,263,153,700,14,2,320,154,100,0,0,400,19,174,0,8,245,120,124,125,1.469357800428137,66.12110101926616,45.0,86.0,0.0,0.0,0.0,0.0,0.0,14.0,50,0,0,0,0,0,0,43,0,0,0,0,0,0,43,25,43,25,0,0,0,43,25,0,0,25,Anger,Neutral,100.0,10.416666666666668,89.58333333333334,-42,82,32,-60,93,-44,63,86.0,30.0,0.0,94.29494830235252,0.0,0.0,60.653065971263345,51.45714617988434,60.653065971263345,81.44360766561206,69.9410103395295,35.55272153312241,58.841489386053695,36.671169257718255,27.92801884217484,91.4,14.0,26.81654114984181,60.03684367286283
0,Test,ID1,BV01,11,0,2200,0,2200,Undified,Nan,faces\4600998132518608977.png,,,,,20,23.021728866442675,5.0,26.0,5.0,21,19,263,155,84,7,263,155,500,12,0,320,155,100,0,1,300,19,173,-1,6,245,120,124,125,1.3855949068225475,65.12296062065974,47.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-4,6,1,21,21,-5,-7,0.0,30.0,0.0,96.18104012833426,0.0,0.0,60.653065971263345,51.45714617988434,0.6065306597126334,82.76387194379927,1.563791974333148,16.552774388759854,5.302729455141892,83.53420363026642,27.04438834897646,99.9,99.0,40.464580791569894,15.763791974333149
0,Test,ID1,BV01,12,0,2400,0,2400,Undified,Nan,faces\-4289678562894290590.png,,,,,16,23.021728866442675,4.123105625617661,27.0,4.5,17,16,263,156,84,6,263,156,150,3,2,319,156,100,0,0,125,18,175,-1,9,228,112,149,149,1.4385540948458724,66.18912297349165,46.01086828130936,0.0,0.0,24.0,0.0,5.0,0.0,72.0,50,0,0,12,24,2,2,0,0,0,12,0,14,0,2,25,0,25,0,0,12,0,28,0,0,37,Neutral,Neutral,55.0,0.0,0.0,-7,3,7,21,12,-5,-7,0.0,30.0,20.0,92.87098580467497,0.0,0.0,65.92406302004437,55.146844114031055,15.82177512481065,81.55374329748179,1.4258028390650055,16.310748659496358,13.62971717036536,76.7516005934559,26.063595883716037,90.4,100.0,38.08306149462227,16.425802839065007
0,Test,ID1,BV01,13,0,2600,0,2600,Undified,Nan,faces\7294297522190711810.png,,,,,17,23.0,4.5,27.0,4.5,19,16,262,156,85,6,262,156,500,10,0,319,156,100,0,2,300,18,174,-1,7,228,112,149,149,1.4521009899686292,68.26419266350405,47.01063709417264,0.0,0.0,22.0,0.0,6.0,0.0,72.0,50,0,0,11,22,3,3,0,0,0,11,0,14,0,3,25,0,25,0,0,11,0,28,0,0,36,Neutral,Neutral,55.0,0.0,0.0,0,3,2,19,11,-4,-9,0.0,20.0,20.0,95.40106416225649,0.0,0.0,65.92406302004437,52.146844114031055,14.50329386440976,82.42479814778886,0.9197871675487023,16.484959629557775,14.252747775689981,76.4402815942269,26.650227696369903,91.2,100.0,38.76371972216833,20.9197871675487
