Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,4,0,800,0,800,Undified,Nan,faces\4843524432141897333.png,,,,,11,13.341664064126336,2.118033988749895,14.0,1.0,15,7,266,129,49,7,266,131,57,15,26,300,129,140,7,5,98,12,170,-7,3,246,102,87,87,1.5132947009511986,47.51841748206689,31.40063693621516,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-1,12,0,21,15,-5,-7,0.0,30,20.0,97.86759515267833,0.0,0.0,58.3645478143574,49.85518347005018,0.0,83.46387164788987,0.4264809694643333,16.692774329577976,4.6279442908393,84.14403173211755,27.280371085184225,100.0,100.0,40.76958074718348,15.426480969464333
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\-5919329022601017733.png,,,,,17,13.152946437965904,2.618033988749895,13.038404810405297,2.118033988749895,19,16,265,126,50,7,265,129,75,12,16,301,126,100,6,6,87,12,174,-7,5,246,102,87,87,1.5405275564331256,48.373546489791295,31.40063693621516,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-3,13,4,21,16,-5,-8,0.0,30,20.0,96.83621206325527,0.0,0.0,58.3645478143574,49.85518347005018,0.0,82.74190348529373,0.6327575873489452,16.548380697058747,4.689827276204683,84.02232852756563,27.087708724079995,100.0,100.0,40.66128552279406,15.632757587348944
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\7591616517163187223.png,,,,,27,13.038404810405297,3.64269164289302,13.038404810405297,3.64269164289302,27,27,265,125,50,8,265,128,89,17,19,301,125,76,13,17,82,13,174,-6,4,246,102,87,87,1.515866274757704,47.38143096192854,31.256999216175572,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-7,11,-1,12,9,-6,-7,0.0,30,0.0,97.36189547074287,0.0,0.0,54.04329964865341,46.83030975405738,0.0,82.20241975573721,0.5276209058514268,16.440483951147442,4.658286271755428,83.8936129581694,26.53996623475124,100.0,100.0,40.230362963360584,15.527620905851427
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\-8880075989435516340.png,,,,,11,13.152946437965904,2.118033988749895,13.0,1.0,16,7,266,129,49,6,266,131,75,15,20,301,129,150,6,4,112,12,170,-6,0,246,102,87,87,1.5574893886881829,48.507731342539614,31.144823004794873,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,0,7,-1,21,17,-4,-7,0.0,30,40.0,98.33587956325762,0.0,0.0,58.3645478143574,49.85518347005018,0.0,83.79167073529538,0.33282408734847596,16.758334147059077,4.599847226204543,84.2992892925659,27.777846613080435,100.0,100.0,41.16875061029431,15.332824087348476
0,Test,ID1,BV01,8,0,1600,0,1600,Undified,Nan,faces\5489785122343657931.png,,,,,17,14.142135623730953,3.0,14.035668847618199,2.0,21,14,265,127,51,7,265,129,78,18,23,301,127,133,8,6,105,12,170,-6,2,246,102,87,87,1.5531809727203776,48.373546489791295,31.144823004794873,0.0,0.0,0.0,0.0,1.0,0.0,99.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,26,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-4,7,8,22,13,-6,-8,0.0,30,40.0,98.2404278726887,0.0,0.0,58.3645478143574,49.85518347005018,0.583645478143574,83.72485455189714,0.3519144254622603,16.74497091037943,4.926579340617644,83.83122198269561,26.914335836243843,100.0,100.0,40.45872818278457,15.35191442546226
0,Test,ID1,BV01,9,0,1800,0,1800,Undified,Nan,faces\-5190679460333791966.png,,,,,19,13.152946437965904,3.1622776601683795,14.0,2.0,24,14,266,127,50,7,266,129,73,17,23,301,127,183,11,6,128,13,171,-5,1,246,102,87,87,1.5495260332872929,48.25971404805462,31.144823004794873,0.0,0.0,0.0,0.0,45.0,0.0,55.0,50,0.0,0,0,0,22,22,0,0,0,0,0,22,0,22,25,0,25,0,0,0,0,48,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-8,4,4,22,19,-5,-7,0.0,30,0.0,98.33694897577686,0.0,0.0,54.04329964865341,46.83030975405738,24.319484841894038,82.88495720926102,0.33261020484462733,16.576991441852204,17.97549972449511,73.40809594133002,26.062048896448257,100.0,100.0,40.682743581389154,15.332610204844627
0,Test,ID1,BV01,10,0,2000,0,2000,Undified,Nan,faces\4919560954827263911.png,,,,,17,13.152946437965904,2.58113883008419,14.0,2.118033988749895,19,15,266,127,50,6,266,129,60,9,15,301,127,150,12,8,105,12,171,-5,1,246,102,87,87,1.5495260332872929,48.25971404805462,31.144823004794873,0.0,0.0,0.0,0.0,5.0,0.0,95.0,50,0.0,0,0,0,2,2,0,0,0,0,0,2,0,2,25,0,25,0,0,0,0,28,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-5,7,3,22,10,-4,-6,0.0,30,40.0,98.33694897577686,0.0,0.0,58.3645478143574,49.85518347005018,2.91822739071787,83.79241932405886,0.33261020484462733,16.758483864811772,6.204808126348217,83.01539543132732,27.649644374147442,100.0,100.0,41.16886289860883,15.332610204844627
0,Test,ID1,BV01,11,0,2200,0,2200,Undified,Nan,faces\-1432041813297236578.png,,,,,19,13.152946437965904,3.08113883008419,14.0,2.118033988749895,23,15,266,127,50,7,266,129,65,15,23,301,127,150,12,8,107,12,170,-6,1,246,102,87,87,1.543965040095087,48.25971404805462,31.256999216175572,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-5,3,4,11,14,-6,-10,0.0,30,40.0,98.33694897577686,0.0,0.0,58.3645478143574,49.85518347005018,0.0,83.79241932405886,0.33261020484462733,16.758483864811772,4.5997830614533886,84.09941548324318,26.95804637933903,100.0,100.0,40.468862898608826,15.332610204844627
0,Test,ID1,BV01,12,0,2400,0,2400,Undified,Nan,faces\-4395160764889267590.png,,,,,16,13.152946437965904,2.23606797749979,14.0,2.118033988749895,17,15,266,127,50,6,266,129,55,10,18,301,127,275,11,4,165,13,170,-6,1,246,102,87,87,1.543965040095087,48.25971404805462,31.256999216175572,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-7,4,6,16,14,-5,-7,0.0,30,0.0,98.33694897577686,0.0,0.0,54.04329964865341,46.83030975405738,0.0,82.88495720926102,0.33261020484462733,16.576991441852204,4.5997830614533886,84.10866927176339,27.132106229491594,100.0,100.0,40.682743581389154,15.332610204844627
0,Test,ID1,BV01,13,0,2600,0,2600,Undified,Nan,faces\8978275985400146029.png,,,,,17,14.142135623730953,3.08113883008419,14.035668847618199,2.0,21,14,266,127,50,7,266,129,72,18,25,301,127,200,10,5,136,13,171,-6,3,246,102,87,87,1.5945458347799144,48.25971404805462,30.265491900843116,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,80.0,0.0,0.0,-6,8,0,11,10,-4,-6,0.0,30,0.0,97.86759515267833,0.0,0.0,54.04329964865341,46.83030975405738,0.0,82.55640953309204,0.4264809694643333,16.511281906618407,4.6279442908393,84.15328552063775,27.45443093533678,100.0,100.0,40.9834614299638,15.426480969464333
