Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,1,0,200,0,200,Undified,Nan,faces\-8970665460881455512.png,,,,,31,12.041594578792296,4.061552812808832,12.041594578792296,3.5,33,29,260,140,42,6,260,140,61,11,18,289,141,113,17,15,87,14,175,1,0,245,125,72,72,1.9096319579636367,42.01190307520001,22.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50,0.0,50,0,0,0,0,0,0,0,50,0,0,0,0,25,50,25,50,0,0,0,25,50,0,25,Joy,Neutral,100.0,100.0,0.0,98,13,79,93,20,76,6,100.0,30,20.0,98.33587956325762,0.0,0.0,54.88116360940265,47.41681452658185,0.0,83.06016005225489,0.33282408734847596,87.01203201045098,4.599847226204543,92.22613822426185,85.38765383548991,100.0,100.0,89.05902400783823,40.33282408734848
0,Test,ID1,BV01,2,0,400,0,400,Undified,Nan,faces\-5533124726954201184.png,,,,,29,12.0,3.5,12.0,3.5,29,29,260,140,42,5,260,140,63,12,19,289,140,136,15,11,99,13,174,0,7,245,125,72,72,1.8695652173913044,43.0,23.0,0.0,0.0,0.0,89.0,0.0,0.0,11.0,50,0.0,44,0,0,0,0,0,0,0,44,0,0,0,0,25,44,25,44,0,0,0,25,44,0,25,Joy,Neutral,100.0,100.0,0.0,93,13,85,90,17,77,6,89.0,30,40.0,95.40106416225649,0.0,0.0,60.653065971263345,51.45714617988434,0.0,82.21788876754484,0.9197871675487023,79.45557775350898,4.77593615026461,92.1010399565428,82.81457618754048,100.0,100.0,87.08268331513173,38.169787167548705
0,Test,ID1,BV01,3,0,600,0,600,Undified,Nan,faces\-5615446519442863232.png,,,,,33,12.0,4.0,12.0,4.061552812808832,33,33,261,139,41,6,261,140,63,12,19,289,139,114,16,14,88,13,176,-2,7,245,117,72,72,2.047512562185564,43.04648650006177,21.02379604162864,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,100.0,0.0,0.0,-5,3,8,21,14,-5,-6,0.0,30,40.0,95.40106416225649,0.0,0.0,60.653065971263345,51.45714617988434,0.0,82.21788876754484,0.9197871675487023,16.44357775350897,4.77593615026461,83.9010399565428,26.94457618754049,100.0,100.0,40.582683315131725,15.919787167548701
0,Test,ID1,BV01,4,0,800,0,800,Undified,Nan,faces\2011478018636299955.png,,,,,32,11.0,4.0,12.041594578792296,3.5,36,29,266,143,41,7,266,145,52,10,19,294,143,107,15,14,79,13,178,-4,19,253,125,72,72,1.7518463166731777,42.190046219457976,24.08318915758459,0.0,0.0,0.0,84.0,0.0,0.0,16.0,50,0.0,42,0,0,0,0,0,0,0,42,0,0,0,0,25,42,25,42,0,0,0,25,42,0,25,Joy,Neutral,100.0,100.0,0.0,98,18,86,96,25,79,7,84.0,30,40.0,65.0599776048236,0.0,0.0,60.653065971263345,51.45714617988434,0.0,60.97912817734182,6.98800447903528,72.33982563546837,6.596401343710584,88.72079174276573,76.71686121861204,100.0,100.0,83.59686922660129,42.98800447903528
0,Test,ID1,BV01,5,0,1000,0,1000,Undified,Nan,faces\6172577313820746199.png,,,,,34,11.0,4.0,12.16552506059644,4.061552812808832,36,33,270,147,41,7,270,149,61,11,18,298,147,106,17,16,83,13,-179,-4,22,253,125,72,72,1.819745973985398,40.19950248448356,22.09072203437452,0.0,0.0,0.0,78.0,0.0,0.0,22.0,50,0.0,39,0,0,0,0,0,0,0,39,0,0,0,0,25,39,25,39,0,0,0,25,39,0,25,Joy,Neutral,100.0,100.0,0.0,98,17,83,94,23,78,4,78.0,30,40.0,50.00624703467075,0.0,0.0,60.653065971263345,51.45714617988434,0.0,50.44151677823483,9.99875059306585,65.62430335564697,7.499625177919755,86.84445153548768,71.99482434810747,100.0,100.0,80.46622751673522,44.49875059306585
0,Test,ID1,BV01,6,0,1200,0,1200,Undified,Nan,faces\5315131423398802435.png,,,,,37,12.041594578792296,4.561552812808832,12.041594578792296,4.561552812808832,37,37,269,144,42,8,269,146,78,15,19,298,144,111,20,18,94,13,179,-5,18,253,125,72,72,1.7890641321772542,41.303752856126756,23.08679276123039,16.0,0.0,0.0,67.0,0.0,0.0,17.0,50,0.0,34,0,0,0,0,8,0,0,34,0,0,0,8,25,42,25,34,0,0,8,25,34,0,25,Joy,Neutral,100.0,80.72289156626506,19.27710843373494,94,20,85,87,23,80,5,83.0,30,40.0,69.0246058772074,0.0,0.0,60.653065971263345,51.45714617988434,9.704490555402135,63.754367968010484,18.99507882455852,72.5108735936021,15.535993452838731,81.94664203453007,76.88325619545562,98.4,84.0,80.96315519520158,46.76435593299226
0,Test,ID1,BV01,7,0,1400,0,1400,Undified,Nan,faces\1357068551301615224.png,,,,,36,11.04536101718726,4.061552812808832,12.16552506059644,4.561552812808832,36,37,270,146,41,10,270,150,57,11,19,298,146,105,19,18,81,14,-176,-7,25,253,125,72,72,1.8022072077516864,39.812058474788756,22.09072203437452,0.0,0.0,0.0,14.0,7.0,0.0,78.0,50,0.0,7,0,0,4,4,0,0,0,7,0,4,0,4,25,7,25,7,0,0,0,28,7,0,25,Neutral,Neutral,100.0,0.0,0.0,0,6,0,21,18,-4,-6,0.0,30,0.0,35.510423303684185,0.0,0.0,54.88116360940265,47.41681452658185,3.8416814526581855,39.082340670553485,12.897915339263164,7.816468134110697,10.482299400740951,75.12239454646257,15.68282462228463,100.0,100.0,34.46235110058302,27.897915339263164
0,Test,ID1,BV01,8,0,1600,0,1600,Undified,Nan,faces\-4318105544195796098.png,,,,,32,11.04536101718726,4.0,12.369316876852979,3.58113883008419,36,28,273,147,41,10,273,152,66,8,12,301,147,90,19,21,78,12,-176,-9,24,261,125,72,72,1.632653485687065,40.024992192378996,24.515301344262525,0.0,2.0,75.0,0.0,0.0,0.0,23.0,50,0.0,0,38,75,0,1,1,0,0,38,0,38,1,0,26,0,25,0,0,38,0,25,1,0,62,Fear,Neutral,100.0,11.76470588235294,88.23529411764706,-42,88,3,-39,79,0,0,77.0,30,40.0,40.25858975696685,67.03200460356393,67.03200460356393,67.03200460356393,55.92240322249475,67.03200460356393,44.95773379662522,13.54828204860663,39.791546759325044,45.43208714654216,48.1501036624288,35.30444381539918,69.0,98.0,44.243660069493785,68.2571055780184
0,Test,ID1,BV01,9,0,1800,0,1800,Undified,Nan,faces\8500211515152749747.png,,,,,31,12.041594578792296,4.061552812808832,13.341664064126336,4.123105625617661,33,30,277,149,42,10,277,153,60,14,23,305,149,78,15,19,69,13,-176,-9,21,261,125,72,72,1.4762082344456309,38.832975677895206,26.305892875931807,0.0,0.0,0.0,89.0,0.0,0.0,11.0,50,0.0,44,0,0,0,0,0,0,0,44,0,0,0,0,25,44,25,44,0,0,0,25,44,0,25,Joy,Neutral,80.0,100.0,0.0,90,21,76,91,20,79,5,89.0,30,20.0,55.03961080030571,0.0,0.0,60.653065971263345,51.45714617988434,0.0,53.9648714141793,8.992077839938858,74.51697428283586,7.197623351981657,87.53838845983262,76.0950566995281,100.0,100.0,83.54473071212689,46.24207783993886
0,Test,ID1,BV01,10,0,2000,0,2000,Undified,Nan,faces\4944330348076834347.png,,,,,31,12.0,4.0,13.341664064126336,4.123105625617661,33,30,280,151,42,10,280,156,66,10,15,308,151,111,19,17,88,14,-169,-7,27,269,133,72,72,1.4838776042785655,37.36308338453881,25.179356624028344,0.0,0.0,0.0,89.0,0.0,0.0,11.0,50,0.0,44,0,0,0,0,0,0,0,44,0,0,0,0,25,44,25,44,0,0,0,25,44,0,25,Joy,Neutral,80.0,100.0,0.0,89,22,79,97,17,76,7,89.0,30,0.0,26.99821688321372,0.0,0.0,54.88116360940265,47.41681452658185,0.0,33.123796176224154,14.600356623357257,69.28075923524483,8.880106987007178,83.80829402801666,69.3117784468577,100.0,100.0,79.36856942643362,51.85035662335726
